OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITTYPE,UNITTYPE_DESC,ASSET_NAME,ASSET_ID,SUBAREA,MATERIAL,NAT_TOP_WATER_LEVEL,WATERBODY_TYPE,EASTING,NORTHING,SUB_CATCHMENT_NBR,DATE_OF_HANDOVER,MANAGEMENT_AGREEMENT,RAMSAR_CLASS,CONSERVATION_STATUS,DATE_OF_CONSTRUCTION,ASSET_OWNER,EPMS_SEC_NO,ASCONST_PLAN_NO,METHOD_OF_CAPTURE,SOURCE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS
1119795,211212,10243705,DWL522A,WETLND,WETLAND,SALTWATER COAST WETLAND NO.1,4046,8000,,1.50,CONST,304718.65,5801492.51,4046,,,,,2010/10/01 00:00:00+00,MW,4046/01,4046/01/001,DIGITAL DATA,AS CONSTRUCTED,2011/12/22 08:14:39+00,2021/06/24 13:12:33+00,WIP,,,
1119796,209067,10243702,DST522B,SEDTRP,SEDIMENT TRAP,SALTWATER COAST WETLAND NO.1 SEDIMENT POND,4046,8000,,,CONST,304608.48,5801340.62,4046,,,,,2010/10/07 00:00:00+00,MW,4046/01,4046/01/001,DIGITAL DATA,AS CONSTRUCTED,2011/12/22 08:14:48+00,2021/06/24 13:12:34+00,WIP,,,
1119797,208960,10255505,DST545A,SEDTRP,SEDIMENT TRAP,EUCALYPT WETLANDS SEDIMENT POND,4535,4510,,159.30,CONST,326806.96,5835426.33,4535,2014/12/16 00:00:00+00,,,,2012/09/01 00:00:00+00,MW,4535/14,4535/14/001,DIGITAL DATA,AS CONSTRUCTED,2012/12/03 09:51:52+00,2021/06/24 13:12:35+00,IN,,,
1119798,1009612,0,DUL652,LAKE,LAKE,GREENVALE RESERVOIR NE BERM STORAGE BASIN,4368,4310,,,CONST,315737,5833779,4368,,,,,1973/01/01 00:00:00+00,MW,WH070/G,GR0314,CONTOURS,AS CONSTRUCTED,2017/07/25 14:43:20+00,2021/06/24 13:12:36+00,IN,,,
1119799,209390,10054566,DST053,SEDTRP,SEDIMENT TRAP,TROUPS CREEK WEST BRANCH SEDIMENT POND,0606,0600,EARTH,26.15,CONST,350100.007,5793274.03,0606,,,,,2003/10/07 00:00:00+00,MW,0606/03,0606/03/001,DIGITAL DATA,AS CONSTRUCTED,,2021/06/24 13:12:37+00,IN,,,
1119800,209158,10090366,DST326B,SEDTRP,SEDIMENT TRAP,SHELTONS DRAIN SEDIMENT POND,1106,1100,EARTH,8.5,CONST,338383.756,5792340.021,1114,,,,,2006/07/07 00:00:00+00,MW,1106/03,1106/03/001,DIGITAL DATA,AS CONSTRUCTED,2006/09/13 00:00:00+00,2021/06/24 13:13:00+00,IN,,,
1119801,211317,10121698,DWL330,WETLND,WETLAND,DWARF GALAXIAS CONSERVATION WETLAND,0612,0600,EARTH,15.750,CONST,351059.082,5788872.378,0621,,,,,2006/06/01 00:00:00+00,MW,0612/06,0612/06/001,DIGITAL DATA,AS CONSTRUCTED,2007/09/12 00:00:00+00,2021/06/24 13:13:00+00,IN,,,
1119802,209151,10122211,DST331A,SEDTRP,SEDIMENT TRAP,TI-TREE CK: LINSELL BLVD SEDIMENT TRAP,0619,0600,,36.150,CONST,351171.319,5781853.116,0619,,,,,2006/10/07 00:00:00+00,MW,0619/27,0619/27/001,DIGITAL DATA,AS CONSTRUCTED,2007/04/10 00:00:00+00,2021/06/24 13:13:00+00,IN,,,
1119803,209198,10166159,DST465B,SEDTRP,SEDIMENT TRAP,LYNDHURST WETLANDS SEDIMENT POND,0711,0700,,18.52,CONST,346650.31,5784344.38,0711,,Y,,,2009/12/07 00:00:00+00,MW,0711/11,0711/11/001,DIGITAL DATA,AS CONSTRUCTED,2010/09/17 00:00:00+00,2021/06/24 13:13:01+00,IN,,,
1119804,209074,10168164,DST490B,SEDTRP,SEDIMENT TRAP,MARY ST WETLANDS SEDIMENT TRAP,1502,1500,,22.87,CONST,362425.64,5784793.36,1502,,Y,,,2010/06/07 00:00:00+00,MW,1502/10,1502/10/001,DIGITAL DATA,AS CONSTRUCTED,2010/11/04 00:00:00+00,2021/06/24 13:13:06+00,IN,,,
